psu,strata_id,Location.name.in.English,Location.name.in.Arabic,Latitude,Longitude,COD_Subdistrict,COD_District,COD_Governorate,SumDist,proba,num_households,survey_buffer
32090,Sinjar,Hay Alzeraee,حي الزراعي,36.32152311,41.86595494,Markaz Sinjar,Sinjar,Ninewa,4273,0.025977065,111,6
23273,Sinjar,Hay Alshuhada,حي الشهداء,36.31811,41.85867361,Markaz Sinjar,Sinjar,Ninewa,4273,0.06669787,285,12
22923,Telafar,Kakhirta,كاخرتة,36.55740589,42.34905226,Al-Ayadiya,Telafar,Ninewa,1478,0.0067659,10,6
17814,Telafar,Tal alhuaa,قرية تل الهوى,36.74910112,42.30417192,Rabia,Telafar,Ninewa,1478,0.01826793,27,6
28453,Telafar,Albawtha vilage,قرية البوثة,36.7311007,42.2585845,Rabia,Telafar,Ninewa,1478,0.0135318,20,6
18262,Telafar,abu khushub,قرية ابوخشب,36.74144385,42.12177344,Rabia,Telafar,Ninewa,1478,0.01150203,17,6
18308,Telafar,Hay Al Askari,حي العسكري,36.80246191,42.09715448,Rabia,Telafar,Ninewa,1478,0.375507442,555,30
24701,Telafar,Hay Al laban,حي اللبن,36.80849199,42.09016157,Rabia,Telafar,Ninewa,1478,0.103518268,153,12
28450,Telafar,Ewaynat vilage,قرية عوينات,36.68093122,42.40219667,Rabia,Telafar,Ninewa,1478,0.040595399,60,12
25687,Telafar,Hay Al Sikak,حي السكك,36.79930633,42.09378266,Rabia,Telafar,Ninewa,1478,0.025033829,37,12
25808,Telafar,Hay Alasreya,حي العصرية,36.80483492,42.0867173,Rabia,Telafar,Ninewa,1478,0.055480379,82,6
25944,Telafar,Qasabat Zummar,قصبة زمار,36.65599757,42.59801338,Zummar,Telafar,Ninewa,1478,0.087956698,130,6
25695,Telafar,kirver village,قرية كرفر,36.68823497,42.59559437,Zummar,Telafar,Ninewa,1478,0.00473613,7,6
17134,Tilkaef,Alqosh,القوش,36.731975,43.095524,Al-Qosh,Tilkaef,Ninewa,3230,0.036842105,119,12
22365,Tilkaef,Shaykhaka,قرية شيخكة,36.6900264,43.16280158,Al-Qosh,Tilkaef,Ninewa,3230,0.044582043,144,18
17830,Tilkaef,Jarahiya,الجراحية,36.7017796,43.21302722,Al-Qosh,Tilkaef,Ninewa,3230,0.004643963,15,6
24703,Tilkaef,Jambour Village,قرية جمبور,36.71678789,42.95407047,Al-Qosh,Tilkaef,Ninewa,3230,0.020123839,65,6
24637,Tilkaef,Kalata Farhan village,قرية كلاتة فرحان(طماشة),36.59573094,43.21033799,Al-Qosh,Tilkaef,Ninewa,3230,0.006811146,22,6
18377,Tilkaef,Al rasheediya,الرشيدية,36.40323668,43.0935171,Markaz Tilkaef,Tilkaef,Ninewa,3230,0.482043344,1557,60
17959,Tilkaef,Tallsquf,تللسقف,36.59768094,43.10565343,Markaz Tilkaef,Tilkaef,Ninewa,3230,0.06625387,214,12
24600,Tilkaef,Al Qawsiyat,القوسيات,36.44442116,43.09490804,Markaz Tilkaef,Tilkaef,Ninewa,3230,0.142724458,461,24
23913,Balad,Hay al Zahraa 204,حي الزهراء م(9-تل مسكين)محلة 204,33.83851491,44.24768232,Al-Dujeel,Balad,Salah Al-Din,1307,0.06503443,85,6
25916,Balad,Al Sejla village,قرية السجلة,33.90931473,44.1980154,Al-Dujeel,Balad,Salah Al-Din,1307,0.068859985,90,6
25746,Balad,Markaz Al-Dujeel-Hay Al Wihda Mahala 101,محلة 101,33.84887071,44.23246813,Al-Dujeel,Balad,Salah Al-Din,1307,0.03289977,43,6
23920,Balad,Hay Al Hussien,حي الحسين,33.84296372,44.24168261,Al-Dujeel,Balad,Salah Al-Din,1307,0.075745983,99,30
25747,Balad,Markaz Al-Dujeel-Al Shabab village,قرية الشباب,33.77310581,44.30544923,Al-Dujeel,Balad,Salah Al-Din,1307,0.057383321,75,6
25742,Balad,Al-Duloeyah-Hay Al Jubor,محلة الجبور الاولى,34.03255609,44.23111624,Al-Duloeyah,Balad,Salah Al-Din,1307,0.058148432,76,6
