Location.ID,District,popgroup,Stratum,population
6000,Kifri,idp_out_camp,Kifri,193
25429,Kifri,idp_out_camp,Kifri,135
33394,Kifri,idp_out_camp,Kifri,47
28430,Kifri,idp_out_camp,Kifri,67
28427,Kifri,idp_out_camp,Kifri,78
28429,Kifri,idp_out_camp,Kifri,54
31930,Kifri,idp_out_camp,Kifri,184
6161,Kifri,idp_out_camp,Kifri,200
28424,Kifri,idp_out_camp,Kifri,35
11023,Kifri,idp_out_camp,Kifri,128
28422,Kifri,idp_out_camp,Kifri,77
28428,Kifri,idp_out_camp,Kifri,56
10592,Kifri,idp_out_camp,Kifri,115
23903,Al-Amadiya,idp_out_camp,Al-Amadiya,25
8171,Al-Amadiya,idp_out_camp,Al-Amadiya,7
8335,Al-Amadiya,idp_out_camp,Al-Amadiya,19
7770,Al-Amadiya,idp_out_camp,Al-Amadiya,97
7768,Al-Amadiya,idp_out_camp,Al-Amadiya,52
27120,Al-Amadiya,idp_out_camp,Al-Amadiya,45
7867,Al-Amadiya,idp_out_camp,Al-Amadiya,7
7862,Al-Amadiya,idp_out_camp,Al-Amadiya,14
7896,Al-Amadiya,idp_out_camp,Al-Amadiya,6
7835,Al-Amadiya,idp_out_camp,Al-Amadiya,69
26047,Duhok,idp_out_camp,Duhok,87
24092,Duhok,idp_out_camp,Duhok,163
23711,Duhok,idp_out_camp,Duhok,21
21509,Duhok,idp_out_camp,Duhok,179
8867,Duhok,idp_out_camp,Duhok,504
21971,Duhok,idp_out_camp,Duhok,126
26052,Duhok,idp_out_camp,Duhok,26
24186,Duhok,idp_out_camp,Duhok,122
7945,Duhok,idp_out_camp,Duhok,271
24628,Duhok,idp_out_camp,Duhok,212
8687,Duhok,idp_out_camp,Duhok,50
7949,Duhok,idp_out_camp,Duhok,126
25898,Duhok,idp_out_camp,Duhok,210
8044,Sumail,idp_out_camp,Sumail,87
24596,Sumail,idp_out_camp,Sumail,223
27125,Sumail,idp_out_camp,Sumail,156
24800,Sumail,idp_out_camp,Sumail,1042
