num,psu,n,new_ID,name,district,governorate,label
205,23078,1,cluster_location_id_205,Rezgari,Derbendikhan,Al-Sulaymaniyah,205_Rezgari
206,25297,1,cluster_location_id_206,Rozhhalat,Rania,Al-Sulaymaniyah,206_Rozhhalat
207,21021,1,cluster_location_id_207,Sabun karan Qt,Al-Sulaymaniyah,Al-Sulaymaniyah,207_Sabun karan Qt
208,24816,1,cluster_location_id_208,Saib City,Al-Sulaymaniyah,Al-Sulaymaniyah,208_Saib City
209,20813,1,cluster_location_id_209,SANGAWIAKAN,Chamchamal,Al-Sulaymaniyah,209_SANGAWIAKAN
210,24670,1,cluster_location_id_210,Sara,Derbendikhan,Al-Sulaymaniyah,210_Sara
211,24213,1,cluster_location_id_211,Sara,Dokan,Al-Sulaymaniyah,211_Sara
212,29686,1,cluster_location_id_212,Saraa,Rania,Al-Sulaymaniyah,212_Saraa
213,23923,1,cluster_location_id_213,Sarcham,Dokan,Al-Sulaymaniyah,213_Sarcham
214,4441,1,cluster_location_id_214,Sarchnar,Al-Sulaymaniyah,Al-Sulaymaniyah,214_Sarchnar
215,24255,1,cluster_location_id_215,Sarwary 142,Al-Sulaymaniyah,Al-Sulaymaniyah,215_Sarwary 142
216,6305,1,cluster_location_id_216,Shaheedan,Dokan,Al-Sulaymaniyah,216_Shaheedan
217,21719,1,cluster_location_id_217,Shahidan,Chamchamal,Al-Sulaymaniyah,217_Shahidan
218,31863,1,cluster_location_id_218,Shahidan,Halabcha,Al-Sulaymaniyah,218_Shahidan
219,24962,1,cluster_location_id_219,Sharawani,Kalar,Al-Sulaymaniyah,219_Sharawani
220,21857,1,cluster_location_id_220,Sharwani,Halabcha,Al-Sulaymaniyah,220_Sharwani
221,5000,1,cluster_location_id_221,Shekh Mansourian,Dokan,Al-Sulaymaniyah,221_Shekh Mansourian
222,23769,1,cluster_location_id_222,Sherwana,Kalar,Al-Sulaymaniyah,222_Sherwana
223,29515,1,cluster_location_id_223,Shoresh,Derbendikhan,Al-Sulaymaniyah,223_Shoresh
224,24890,1,cluster_location_id_224,Sirwan,Kalar,Al-Sulaymaniyah,224_Sirwan
225,24813,1,cluster_location_id_225,Takya-Azadi,Chamchamal,Al-Sulaymaniyah,225_Takya-Azadi
226,21033,1,cluster_location_id_226,Tavga,Al-Sulaymaniyah,Al-Sulaymaniyah,226_Tavga
227,3593,1,cluster_location_id_227,Timar,Dokan,Al-Sulaymaniyah,227_Timar
228,24554,1,cluster_location_id_228,Tokma,Dokan,Al-Sulaymaniyah,228_Tokma
229,5068,1,cluster_location_id_229,Topzawa,Dokan,Al-Sulaymaniyah,229_Topzawa
230,5930,1,cluster_location_id_230,Wluba 326,Al-Sulaymaniyah,Al-Sulaymaniyah,230_Wluba 326
231,31929,1,cluster_location_id_231,Zhalla,Kalar,Al-Sulaymaniyah,231_Zhalla
232,33110,1,cluster_location_id_232,Al Abraar village-(Al Jomblatiya Northern),Al-Mussyab,Babil,232_Al Abraar village-(Al Jomblatiya Northern)
