list_name,name,label::English,label::Arabic,filter,,,,,,,,,,,,,,,,,,,,,
district_origin,afaq,Afaq,عفق,al.qadissiya,,,,,,,,,,,,,,,,,,,,,
district_origin,al.diwaniya,Al-Diwaniya,الديوانية,al.qadissiya,,,,,,,,,,,,,,,,,,,,,
district_origin,al.hamza,Al-Hamza,الحمزة,al.qadissiya,,,,,,,,,,,,,,,,,,,,,
district_origin,al.shamiya,Al-Shamiya,الشامية,al.qadissiya,,,,,,,,,,,,,,,,,,,,,
district_origin,al.sulaymaniyah,Al-Sulaymaniyah,السليمانية,al.sulaymaniyah,,,,,,,,,,,,,,,,,,,,,
district_origin,chamchamal,Chamchamal,جمجمال,al.sulaymaniyah,,,,,,,,,,,,,,,,,,,,,
district_origin,derbendikhan,Derbendikhan,دربنديخان,al.sulaymaniyah,,,,,,,,,,,,,,,,,,,,,
district_origin,dokan,Dokan,دوكان,al.sulaymaniyah,,,,,,,,,,,,,,,,,,,,,
district_origin,halabcha,Halabcha,حلبجة,al.sulaymaniyah,,,,,,,,,,,,,,,,,,,,,
district_origin,kalar,Kalar,كلار,al.sulaymaniyah,,,,,,,,,,,,,,,,,,,,,
district_origin,panjwin,Panjwin,بينجوين,al.sulaymaniyah,,,,,,,,,,,,,,,,,,,,,
district_origin,pshdar,Pshdar,بشدار,al.sulaymaniyah,,,,,,,,,,,,,,,,,,,,,
district_origin,rania,Rania,رانيه,al.sulaymaniyah,,,,,,,,,,,,,,,,,,,,,
district_origin,sharbazher,Sharbazher,شرباجير,al.sulaymaniyah,,,,,,,,,,,,,,,,,,,,,
district_origin,al.hashimiya,Al-Hashimiya,الهاشمية,babil,,,,,,,,,,,,,,,,,,,,,
district_origin,al.hilla,Al-Hilla,الحلة,babil,,,,,,,,,,,,,,,,,,,,,
district_origin,al.mahaweel,Al-Mahaweel,المحاويل,babil,,,,,,,,,,,,,,,,,,,,,
district_origin,al.mussyab,Al-Mussyab,المسيب,babil,,,,,,,,,,,,,,,,,,,,,
district_origin,al.adhamiya,Al-Adhamiya,الاعظمية,baghdad,,,,,,,,,,,,,,,,,,,,,
