"Governorate","district","psu","Location.Name","popgroup","pop","stratum"
"Baghdad","al.karkh",7640,"Hay al jamiyah (Al Masfi)-842","idp",25,"al.karkhidp"
"Baghdad","al.karkh",23984,"Al Toma(Al Masfi)-826","idp",98,"al.karkhidp"
"Baghdad","al.karkh",21460,"Al Khadraa-639","idp",24,"al.karkhidp"
"Baghdad","al.karkh",24065,"Al Ghazaliyah-685","idp",12,"al.karkhidp"
"Baghdad","al.karkh",23727,"Al Jameah-627","idp",12,"al.karkhidp"
"Baghdad","al.karkh",21450,"Al Amerya-634","idp",19,"al.karkhidp"
"Baghdad","al.karkh",21448,"Al Amreya-630","idp",14,"al.karkhidp"
"Baghdad","al.karkh",25206,"Al Khadraa-640","idp",30,"al.karkhidp"
"Baghdad","al.karkh",26041,"Al Jameah-635","idp",20,"al.karkhidp"
"Baghdad","al.karkh",27409,"Al Saydia-835","idp",13,"al.karkhidp"
"Baghdad","al.karkh",27191,"Al Resala-855","idp",14,"al.karkhidp"
"Baghdad","al.karkh",25221,"Al Forat-893","idp",32,"al.karkhidp"
"Baghdad","al.karkh",26100,"Hay Al Jehad-881","idp",12,"al.karkhidp"
"Baghdad","al.karkh",27289,"Al Salahiya-222","idp",9,"al.karkhidp"
"Baghdad","al.mahmoudiya",25150,"Al Latefia-Al Qadessia","idp",157,"al.mahmoudiyaidp"
"Baghdad","al.mahmoudiya",23618,"14 Tamooz","idp",83,"al.mahmoudiyaidp"
"Baghdad","al.mahmoudiya",25149,"Al Latefia-Al Salam","idp",89,"al.mahmoudiyaidp"
"Baghdad","al.mahmoudiya",7733,"Hay Al Zuhoor","idp",60,"al.mahmoudiyaidp"
"Baghdad","al.mahmoudiya",25152,"Kilo 18","idp",179,"al.mahmoudiyaidp"
"Baghdad","al.mahmoudiya",7583,"Hoor Rajab","idp",21,"al.mahmoudiyaidp"
"Baghdad","al.mahmoudiya",7587,"Al Radwania","idp",60,"al.mahmoudiyaidp"
"Baghdad","al.mahmoudiya",29523,"Hay Al Shuhada(Al kragolyia)","idp",15,"al.mahmoudiyaidp"
"Baghdad","al.mahmoudiya",27252,"Hay Al Rasul","idp",9,"al.mahmoudiyaidp"
"Diyala","al.khalis",24194,"Dalli Abass-Al-Dhobat Qtr","idp",25,"al.khalisidp"
"Diyala","al.khalis",25036,"Hibhib-Al Shohadaa Qtr","idp",38,"al.khalisidp"
"Diyala","al.khalis",10445,"Markaz Hibhib","idp",109,"al.khalisidp"
"Diyala","al.khalis",25032,"Hibhib-Al Askary Qtr","idp",13,"al.khalisidp"
"Diyala","al.khalis",25027,"Hibhib-Al Asry Qtr","idp",12,"al.khalisidp"
"Diyala","al.khalis",25815,"Al Hadid-Al Benook Qtr","idp",20,"al.khalisidp"
"Diyala","al.khalis",22041,"Al Qadissiya Qtr","idp",40,"al.khalisidp"
"Diyala","al.khalis",11195,"Al Ghalbiya","idp",59,"al.khalisidp"
"Diyala","al.khalis",25814,"Al Hadid Old","idp",20,"al.khalisidp"
"Diyala","al.khalis",11206,"Hawaish Village","idp",7,"al.khalisidp"
"Diyala","al.khalis",11425,"Jadidat Al Shat village","idp",60,"al.khalisidp"
"Diyala","baquba",11463,"Had Mekser","idp",47,"baqubaidp"
"Diyala","baquba",11411,"Al Sabtiyah village","idp",38,"baqubaidp"
"Diyala","baquba",23740,"Al Hawidar","idp",31,"baqubaidp"
"Diyala","baquba",24915,"Al Gatoon-Al rahma","idp",420,"baqubaidp"
